EqDiameter,Sphericity,Normalized Density
2.9950500000000004,0.326172,0.510330100075497
1.5458699999999999,0.647755,0.11450169134573274
1.57425,0.607582,0.0724545909275397
1.416,0.702318,0.5251983782971704
1.26356,0.557035,0.9399198106626239
1.88283,0.725022,0.5558760072338172
1.87654,0.71343,0.3726496395310319
2.24431,0.564477,0.0260281779219849
0.900789,0.422052,0.11450169134573274
1.4348800000000002,0.574738,0.04409911187323755
1.54779,0.927655,0.3682092368314267
1.43458,0.581488,0.9722024563597566
1.46632,0.672401,0.019124579031845515
1.20149,0.422236,0.4499279095475396
1.04532,0.753321,0.016724427849827046
1.75558,0.872552,0.1423206926511531
1.76236,0.850295,0.14049614733585797
1.25084,0.433899,0.008651135717861183
1.14629,0.52177,0.19073751042454754
1.2516900000000002,0.787255,0.6593672603467742
1.21327,0.586115,0.12355260540838173
1.7418,0.64197,0.824103239320771
1.38803,0.85049,0.11450169134573274
1.1282100000000002,0.397929,0.75765829783251
1.05128,0.483436,0.7397544882544335
1.74448,0.557584,0.4415159148795541
3.03673,0.299465,0.1235674099415051
2.20641,0.522379,0.7489169457874202
2.21457,0.527289,0.2809683058344631
1.21141,0.7282,0.7274076758474287
1.19551,0.568039,0.1343725047349676
1.11867,0.456357,0.11450169134573274
1.0659,0.885318,0.00223192957498539
0.997891,0.703915,0.24373366362783264
1.22466,0.483269,0.6005051943041421
1.73411,0.593941,0.9203921699542972
1.73708,0.575315,0.33777531377020115
0.9826280000000001,0.907124,0.19915023507531615
1.45536,0.748312,0.21101872889392104
1.0645,0.900817,0.32361459534858783
1.14053,0.419134,0.7113122857022016
1.41282,0.932281,0.7297388217613842
1.20607,0.480327,0.11031488155849678
1.44843,0.74602,0.1309589408572293
0.372157,0.583736,0.1126304613172821
1.27145,0.91709,0.06319633806005223
1.61537,0.870279,0.25257371761610403
1.13071,0.574038,0.45277970591326483
0.967255,0.83472,0.13439315068726587
1.7027400000000001,0.687474,0.022927758145228093
1.61984,0.810153,0.5353800390572621
1.3219,0.772391,0.6562381127903666
1.61852,0.855689,0.7421702772495351
0.870299,0.485508,0.3617045448899113
1.35978,0.923407,0.0432686410679465
1.1424400000000001,0.770324,0.08622133790214269
1.59342,0.75578,0.6080148871205819
1.20051,0.78481,0.03214789805690227
1.55156,0.897826,0.11450169134573274
1.1016400000000002,0.592405,0.00040484287533700355
1.6581199999999998,0.685077,0.0032352506874205704
0.9938730000000001,0.514191,0.4463217283948782
1.3428499999999999,0.843897,0.003923223944290529
0.9697100000000001,0.758578,0.34353135696197773
1.49757,0.860162,0.4303694653659419
1.66877,0.678463,0.1343725047349676
1.27967,0.905766,0.00900276437261367
1.36731,0.899863,0.3054732808325429
1.43972,0.912325,0.3687761267455382
1.51498,0.855568,0.044116375476831185
0.561415,0.520391,0.08331768142646843
1.59742,0.799273,0.1343725047349676
1.06348,0.62268,0.8155709226256845
1.63107,0.765191,0.5588746227440364
0.96269,0.814647,0.849085558120142
1.6353199999999999,0.740396,0.32361459534858783
1.54676,0.867164,0.982892014300512
0.39895600000000003,0.575343,0.14007855865589125
1.4086800000000002,0.895194,0.3801647761169655
1.15994,0.773627,0.8743644458550109
