Throat EqRadius,Cumulative Frequency of Pore Throat ChannelLength
68.69036865,0.05611980848817541
68.82735443,0.05633869768177073
68.9699173,0.056852409453053004
69.00456238,0.05706230640164421
69.177742,0.05743094115513639
69.2698822,0.05781879118244953
69.31938934,0.05816585521428197
69.55760956,0.05875026895164569
69.85373688,0.059946472649243986
69.86138153,0.060786108708389956
70.0512085,0.061005358972663314
70.08862305,0.06127559709166006
70.26657104,0.06142438262071384
70.41825104,0.06188812480947885
70.543396,0.06216948601490617
70.54859924,0.06230642013269526
70.72218323,0.06241275613722911
70.7932663,0.0626065915630939
70.9220047,0.06274110002573949
70.95595551,0.06296154971309166
71.0395813,0.06327380647211216
71.11865234,0.0634938396098497
71.12528229,0.06413313633182259
71.47087096999999,0.06452421962142108
71.4944458,0.06479759089449767
71.64698029,0.06499505152744872
71.73595428,0.0651339647355416
