a,b,c,c/a,1-(b/a),(a-b)/(a-c)
0.17930600000000002,0.124669,0.113459,0.6327674478266203,0.3047137296019097,0.8297568606010904
0.38662799999999997,0.23522900000000002,0.22025899999999998,0.5696923140589921,0.3915882967607105,0.9100192944599051
0.18649000000000002,0.136553,0.134532,0.7213898868572042,0.26777307094214164,0.9611031987374419
0.634299,0.492163,0.472783,0.7453629912706784,0.22408359464542738,0.8800118873671957
0.5855030000000001,0.299223,0.261092,0.44592768952507494,0.48894711043325145,0.8824608290101137
0.359575,0.16904,0.160755,0.4470694569978447,0.5298894528262532,0.9583291419374309
0.149179,0.0817169,0.053437,0.3582072543722642,0.45222249780465085,0.7046238850243363
0.46849900000000005,0.378838,0.346008,0.7385458666934186,0.19137927722364412,0.7319803087573781
0.341991,0.195667,0.194255,0.5680120237082263,0.42785921266933924,0.990442410786809
0.10828600000000001,0.0801133,0.0526118,0.48585966791644347,0.2601693663077407,0.5060279267596123
1.11389,0.470823,0.41407299999999997,0.3717359882932785,0.577316431604557,0.9189073714985488
0.420918,0.29412900000000003,0.252435,0.5997248870326287,0.30122019015580226,0.7525328964940082
0.240759,0.117226,0.0941453,0.391035433774023,0.5130981604010649,0.8425747389227609
0.29534,0.232997,0.209044,0.7078079501591387,0.2110889144714566,0.7224320941874478
0.26327300000000003,0.122393,0.120381,0.457247799812362,0.5351099429109708,0.9859194356576996
0.928012,0.468709,0.41308999999999996,0.4451343301595238,0.4949321776011517,0.891985582282365
0.657992,0.325441,0.27963299999999996,0.4249793310556967,0.5054028012498633,0.8789297994761589
0.33840800000000004,0.231154,0.23089400000000002,0.6822947448050873,0.31693695184511017,0.9975817102888928
0.897749,0.499251,0.477253,0.5316107286112265,0.4438857631698838,0.9476855903504432
