Pore EqRadius,Cumulative Frequency of Pore Body Volume
270.8089905,0.0006150871869495874
270.9598694,0.0006229793389049248
270.9598694,0.0006308714908602622
271.2611084,0.0006387899939439522
271.4114685,0.0006467216729706553
272.7573242,0.0006547719316961082
273.2030334,0.0006628617167352534
273.4993286,0.0006709778529027511
273.7950134,0.0006791203401986015
273.9425964,0.0006872760034374648
274.5314331,0.0006954843681753599
274.5314331,0.0007036927329132549
274.9713745,0.0007119406247225157
275.1177063,0.0007202016917171159
275.4099121,0.0007284891098400688
275.5557861,0.0007367897039060348
276.5726318,0.000745182526542398
276.7172852,0.0007535885251217743
277.006134,0.0007620208748295033
277.1503296,0.0007704663997225717
277.4382629,0.0007789382757439928
279.4373779,0.0007875946096638821
279.7206421,0.0007962772947121239
280.5669861,0.00080503903238775
280.8479919,0.0008138271211917287
281.5480042,0.0008226810881954257
282.9377136,0.0008316668108408856
283.3519592,0.0008406920598000378
284.9970093,0.0008498754155293056
285.405304,0.0008590982975722654
286.3535156,0.0008684134081856225
286.8925171,0.0008777812210556849
287.2954712,0.000887188560997113
287.5634766,0.0008966222520668936
287.8309631,0.000906082294265027
288.4975586,0.0009156082139052049
288.6304932,0.0009251473094883959
289.0286255,0.0009347259313852791
289.0286255,0.0009443045532821622
289.1610718,0.000953896350364385
290.4790649,0.0009636199030883708
291.1335754,0.0009734093340120747
291.3945618,0.0009832251160641313
291.7851868,0.00099308042442988
292.4338989,0.0010030016102376734
292.5632935,0.00101293597198848
292.5632935,0.0010228703337392864
292.5632935,0.001032804695490093
292.8217468,0.001042765408369252
293.2085571,0.0010527656475621033
293.4658508,0.0010627922378833071
293.8509827,0.0010728583552758767
294.362915,0.0010829771749251513
294.4906311,0.0010931091697597656
295.1275024,0.0011033070420364247
295.1275024,0.0011135049143130835
296.2669983,0.0011238213670461661
296.3930664,0.001134150994964588
296.8963013,0.0011445333251397152
296.8963013,0.0011549156553148424
297.6479492,0.0011653770388750273
297.7728271,0.001175851597620552
298.2714233,0.0011863788586227815
298.2714233,0.0011969061196250113
299.5106201,0.001207565136269004
