Graph ID,Number of Segments,Mean Length,Mean Radius,Total Volume,Total Length,Number of Nodes,Intermediate Nodes,Terminal Nodes,Branching Nodes,Isolated Nodes
Graph278,1,488.15167,25.907698,1029348.1,488.15167,2,0,2,0,0
Graph279,1,367.77899,49.548244,2673860.8,367.77899,2,0,2,0,0
Graph280,1,448.18411,30.704674,1230532.4,448.18411,2,0,2,0,0
Graph281,1,667.17761,61.135025,7763019.5,667.17761,2,0,2,0,0
Graph282,1,1309.5994,58.900375,17393552,1309.5994,2,0,2,0,0
Graph283,1,508.36328,36.205025,2209253.3,508.36328,2,0,2,0,0
Graph284,1,460.38531,25.907698,970798.19,460.38531,2,0,2,0,0
Graph285,1,2561.043,39.438461,14386141,2561.043,2,0,2,0,0
Graph286,1,404.63037,25.907698,853229.75,404.63037,2,0,2,0,0
Graph287,1,643.49774,141.65613,41273356,643.49774,2,0,2,0,0
Graph288,1,337.43463,29.884842,1058530,337.43463,2,0,2,0,0
Graph289,1,350.76675,25.907698,739649.44,350.76675,2,0,2,0,0
Graph290,1,851.33362,57.793362,11407511,851.33362,2,0,2,0,0
Graph291,1,746.51593,25.907694,1574151.8,746.51593,2,0,2,0,0
Graph292,1,509.50528,97.222061,15448063,509.50528,2,0,2,0,0
Graph293,1,445.327,48.74453,3705093,445.327,2,0,2,0,0
Graph294,1,371.59296,39.512829,2001831.3,371.59296,2,0,2,0,0
Graph295,1,333.03146,25.907698,702251.69,333.03146,2,0,2,0,0
Graph296,1,328.67044,64.277321,4041751,328.67044,2,0,2,0,0
Graph297,1,589.78735,43.183002,3445746.5,589.78735,2,0,2,0,0
Graph298,1,636.39063,38.939175,3843845,636.39063,2,0,2,0,0
Graph299,1,328.50327,111.83474,13262074,328.50327,2,0,2,0,0
Graph300,1,764.13452,163.37059,63482344,764.13452,2,0,2,0,0
Graph301,1,310.98059,25.907698,655753.81,310.98059,2,0,2,0,0
Graph302,1,345.11035,70.135651,5163015.5,345.11035,2,0,2,0,0
Graph303,1,329.43521,71.566742,5367626.5,329.43521,2,0,2,0,0
Graph304,1,467.71411,141.25618,28876050,467.71411,2,0,2,0,0
Graph305,1,349.98328,406.60214,182022290,349.98328,2,0,2,0,0
Graph306,1,1120.8341,143.11166,73523296,1120.8341,2,0,2,0,0
Graph307,1,563.95929,74.999847,10074187,563.95929,2,0,2,0,0
Graph308,1,296.71539,84.141365,6547810,296.71539,2,0,2,0,0
Graph309,1,520.92065,145.25363,33571648,520.92065,2,0,2,0,0
Graph310,1,486.46729,46.142765,3991980.5,486.46729,2,0,2,0,0
Graph311,1,314.89056,403.88953,159779660,314.89056,2,0,2,0,0
Graph312,1,530.2876,25.907696,1118198.6,530.2876,2,0,2,0,0
Graph313,1,401.23169,63.234982,4942751.5,401.23169,2,0,2,0,0
Graph314,1,450.134,85.340363,10282277,450.134,2,0,2,0,0
Graph315,1,469.71613,65.949951,6388601.5,469.71613,2,0,2,0,0
Graph316,1,979.87775,56.348286,12717007,979.87775,2,0,2,0,0
Graph317,1,1502.2828,110.85912,65194924,1502.2828,2,0,2,0,0
Graph318,1,572.03558,25.907696,1206231.3,572.03558,2,0,2,0,0
Graph319,1,1239.3676,291.80566,335742020,1239.3676,2,0,2,0,0
Graph320,1,420.2106,25.907698,886083.25,420.2106,2,0,2,0,0
Graph321,1,725.11279,553.04596,693304510,725.11279,2,0,2,0,0
Graph322,1,372.68326,25.907698,785864.06,372.68326,2,0,2,0,0
Graph323,1,1086.6212,71.894218,19467508,1086.6212,2,0,2,0,0
Graph324,1,738.22247,59.034618,8070576,738.22247,2,0,2,0,0
Graph325,1,486.02911,57.027676,5229803.5,486.02911,2,0,2,0,0
Graph326,1,764.81665,123.07938,35516308,764.81665,2,0,2,0,0
Graph327,1,1089.2867,80.436653,23406266,1089.2867,2,0,2,0,0
Graph328,1,281.5672,219.90907,42422792,281.5672,2,0,2,0,0
Graph329,1,264.17578,48.854206,2149535,264.17578,2,0,2,0,0
Graph330,1,787.01117,66.148293,18176446,787.01117,2,0,2,0,0
Graph331,1,340.36505,38.545525,1620719.6,340.36505,2,0,2,0,0
Graph332,1,449.63702,25.907698,948133.69,449.63702,2,0,2,0,0
Graph333,1,273.082,107.19898,9993665,273.082,2,0,2,0,0
Graph334,1,560.3476,25.907696,1181585.1,560.3476,2,0,2,0,0
Graph335,1,711.71521,142.87483,45630872,711.71521,2,0,2,0,0
Graph336,1,422.36844,28.130524,1100126.6,422.36844,2,0,2,0,0
Graph337,1,689.32526,25.907694,1453555.8,689.32526,2,0,2,0,0
Graph338,1,486.8092,62.953335,6279488,486.8092,2,0,2,0,0
Graph339,1,653.40906,73.740974,15136071,653.40906,2,0,2,0,0
Graph340,1,525.03143,29.555643,1492779.6,525.03143,2,0,2,0,0
Graph341,1,297.77667,67.797882,4267641,297.77667,2,0,2,0,0
Graph342,1,291.19855,25.907698,614040.06,291.19855,2,0,2,0,0
Graph343,1,690.3797,58.233505,7726943.5,690.3797,2,0,2,0,0
Graph344,1,373.41638,25.907698,787410,373.41638,2,0,2,0,0
Graph345,1,366.67807,32.075977,1073283.1,366.67807,2,0,2,0,0
Graph346,1,329.53949,36.265968,1435117.5,329.53949,2,0,2,0,0
Graph347,1,486.48117,54.211754,4520244.5,486.48117,2,0,2,0,0
Graph348,1,314.93958,59.600536,3381728.8,314.93958,2,0,2,0,0
Graph349,1,816.97974,86.582016,20744000,816.97974,2,0,2,0,0
Graph350,1,839.67828,121.98591,40499956,839.67828,2,0,2,0,0
Graph351,1,2198.3704,60.759022,29366926,2198.3704,2,0,2,0,0
Graph352,1,1463.8141,60.355221,21796472,1463.8141,2,0,2,0,0
Graph353,1,288.68597,25.907698,608741.94,288.68597,2,0,2,0,0
Graph354,1,695.77509,46.154152,5665613,695.77509,2,0,2,0,0
Graph355,1,459.22757,134.3033,26103194,459.22757,2,0,2,0,0
Graph356,1,998.46576,111.6917,41490596,998.46576,2,0,2,0,0
Graph357,1,258.05191,25.907698,544144.94,258.05191,2,0,2,0,0
Graph358,1,363.9147,68.620964,5209705,363.9147,2,0,2,0,0
Graph359,1,2661.1604,157.70021,326058660,2661.1604,2,0,2,0,0
Graph360,1,735.31219,34.024601,2870095.3,735.31219,2,0,2,0,0
Graph361,1,736.2655,37.505562,4034641.8,736.2655,2,0,2,0,0
Graph362,1,522.75757,67.439323,7276556.5,522.75757,2,0,2,0,0
Graph363,1,429.9303,33.573357,1550744.6,429.9303,2,0,2,0,0
Graph364,1,632.19525,27.86315,1662553.1,632.19525,2,0,2,0,0
Graph365,1,945.99524,89.750702,24095504,945.99524,2,0,2,0,0
Graph366,1,1188.8716,25.907692,2506931.8,1188.8716,2,0,2,0,0
Graph367,1,476.79041,64.054352,6032906,476.79041,2,0,2,0,0
Graph368,1,894.66022,33.834892,3692468.8,894.66022,2,0,2,0,0
Graph369,1,310.28131,66.696175,4265701.5,310.28131,2,0,2,0,0
