BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,Breadth3d (?m) ,Length3d (?m) ,Width3d (?m) ,Thickness3d (?m) ,a,b,c,EqDiameter,Area3d (?m^2) ,Volume3d,OrientationPhi,OrientationTheta,Shape_VA3d,Sphericity,index
24560.5,8465.1,3690.41,276.051,330.412,252.031,271.148,330.412,271.148,252.031,242.991,183870,7.51E+06,45.5995,-171.533,0.973954,1.00884,78
30933.8,9223.14,3575.26,51.8154,56.7295,56.7295,51.8154,56.7295,56.7295,51.8154,64.2874,8065.75,139116,90,0,0.239733,1.60975,79
32453.7,9685.16,3601.17,174.18,210.685,118.632,127.291,210.685,127.291,118.632,147.181,62799.1,1.67E+06,86.5888,-76.0997,0.785766,1.08368,80
41895.1,9670.64,3645.92,141.339,274.09,140.882,132.379,274.09,140.882,132.379,142.974,61373.5,1.53E+06,33.8,-119.863,0.872876,1.04636,81
30989.7,10532.9,3715.49,366.251,421.874,344.247,322.762,421.874,344.247,322.762,322.292,326230,1.75E+07,63.2754,-165.478,0.999139,1.00029,82
33480.7,11206.2,3737.43,342.09,593.429,329.647,312.672,593.429,329.647,312.672,350.454,425087,2.25E+07,70.6039,164.636,1.3372,0.907683,83
38002.4,22877,3677.95,258.636,343.363,236.54,235.338,343.363,236.54,235.338,244.482,182531,7.65E+06,29.7524,-77.1657,0.918498,1.02874,84
37615.1,23981.8,3703.71,341.127,525.985,335.727,308.193,525.985,335.727,308.193,335.394,371728,1.98E+07,89.9219,-27.0255,1.16384,0.950683,85
36663.8,25061.9,3674.11,281.516,369.76,249.697,240.227,369.76,249.697,240.227,258.482,206318,9.04E+06,52.6526,-17.0457,0.949688,1.01736,86
19560.3,7927.76,3627.08,60.9199,114.147,71.4004,52.2807,114.147,71.4004,52.2807,80.9971,15146.6,278232,90,0,0.396898,1.36074,87
19586.2,8083.2,3627.08,51.8154,56.7295,56.7295,51.8154,56.7295,56.7295,51.8154,64.2874,8065.75,139116,90,0,0.239733,1.60975,88
50266.1,9147.52,4159.86,1206.11,1519.35,819.463,749.594,1519.35,819.463,749.594,876.683,3.77E+06,3.53E+08,70.635,134.22,3.80309,0.640651,89
36503.9,23446.5,3652.99,137.005,179.306,113.459,128.255,179.306,128.255,113.459,128.575,44239.6,1.11E+06,90,0,0.618084,1.17395,90
39112,23550.1,3661.62,119.34,199.457,123.629,93.4185,199.457,123.629,93.4185,116.818,39253.8,834695,28.4131,-58.2501,0.767606,1.09216,91
36950.9,23967.9,3682.13,168.639,268.164,180.958,151.24,268.164,180.958,151.24,161.994,78822.8,2.23E+06,52.1705,-8.41411,0.873998,1.04592,92
28072.1,7038.71,3807.07,312.766,334.669,246.081,216.891,334.669,246.081,216.891,247.41,201117,7.93E+06,65.1844,179.599,1.14391,0.956173,93
14477.6,7093.59,3801.88,307.386,479.817,280.404,276.403,479.817,280.404,276.403,289.161,282921,1.27E+07,58.396,-124.427,1.24941,0.928463,94
28006.2,7642.77,3678.89,124.704,151.404,61.9024,61.7157,151.404,61.9024,61.7157,102.05,27200.1,556463,90,0,0.574627,1.20283,95
24538.3,8882.64,3701.1,137.005,179.306,113.459,124.669,179.306,124.669,113.459,122.977,41245.4,973811,35.2644,-45,0.654224,1.15193,96
28694.7,11362.9,3763.84,301.025,386.628,235.229,220.259,386.628,235.229,220.259,253.067,202443,8.49E+06,63.1199,-122.789,1.01869,0.993846,97
30830.2,11577.9,3736.47,164.84,186.49,134.532,136.553,186.49,136.553,134.532,133.723,51851.2,1.25E+06,90,0,0.786298,1.08344,98
27021.2,13588.9,3913.27,530.777,634.299,492.163,472.783,634.299,492.163,472.783,477.2,735242,5.69E+07,82.0744,30.8906,1.08552,0.973017,99
41224.3,23116.7,3788.45,353.133,585.503,299.223,261.092,585.503,299.223,261.092,333.812,385634,1.95E+07,82.0134,-25.0946,1.3368,0.907775,100
41245.1,7835.39,3854.62,176.041,359.575,169.04,160.755,359.575,169.04,160.755,182.825,112146,3.20E+06,21.3305,-56.9443,1.21811,0.936349,101
18575.8,8083.2,3756.62,68.4214,149.179,81.7169,53.437,149.179,81.7169,53.437,80.9971,15569.8,278232,45,180,0.431103,1.32375,102
31342.8,9066.87,3895.2,419.316,468.499,378.838,346.008,468.499,378.838,346.008,368.932,426487,2.63E+07,49.6153,133.264,0.992179,1.00262,103
49431.9,8068.59,3920.7,267.021,341.991,194.255,195.667,341.991,195.667,194.255,218.012,153136,5.43E+06,31.71,-101.068,1.07869,0.975068,104
43473.1,8394.09,3808.43,56.9266,108.286,80.1133,52.6118,108.286,80.1133,52.6118,80.9971,15151.1,278232,0,90,0.397256,1.36033,105
41927.5,8797.04,4322.78,469.769,1113.89,470.823,414.073,1113.89,470.823,414.073,490.073,1.04E+06,6.16E+07,32.1733,85.8773,2.61084,0.726228,106
32260.8,9231.78,3948.91,329.766,420.918,294.129,252.435,420.918,294.129,252.435,288.098,266193,1.25E+07,19.4855,-144.518,1.06389,0.979567,107
33435.7,9452.61,3841.74,125.017,240.759,117.226,94.1453,240.759,117.226,94.1453,122.977,44334,973811,50.9685,-151.076,0.812476,1.07168,108
47331.6,10490.9,3856.79,218.576,295.34,232.997,209.044,295.34,232.997,209.044,199.756,124885,4.17E+06,86.9822,140.319,0.988739,1.00378,109
31467.5,11705.1,3849.88,144.127,263.273,122.393,120.381,263.273,122.393,120.381,138.503,59373,1.39E+06,62.2705,-97.9358,0.956228,1.01503,110
29915.8,12768.9,4093.51,520.353,928.012,468.709,413.09,928.012,468.709,413.09,525.441,980470,7.60E+07,47.4954,-97.9653,1.44448,0.884632,111
